Protocol,NetworkID,Group,Radio,priority,Override,Hits,Timestamp,Radio alias
P25,BEE00.2D1,-2,2017549,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narromine 534
P25,BEE00.2D1,-2,2038555,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Dubbo 540
P25,BEE00.2D1,-2,2038477,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Dubbo 541
P25,BEE00.2D1,-2,2038604,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Dubbo 542
P25,BEE00.2D1,-2,2038221,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Dubbo 543
P25,BEE00.2D1,-2,2038564,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Mendooran 550
P25,BEE00.2D1,-2,2038605,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Mendooran 551
P25,BEE00.2D1,-2,2038614,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Mendooran 552
P25,BEE00.2D1,-2,2038545,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coolah 560
P25,BEE00.2D1,-2,2034415,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coolah 561
P25,BEE00.2D1,-2,2038216,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coolah 562
P25,BEE00.2D1,-2,2038213,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coolah 563
P25,BEE00.2D1,-2,2038557,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Gulgong 580
P25,BEE00.2D1,-2,2038628,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Gulgong 581
P25,BEE00.2D1,-2,2038617,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Gulgong 582
P25,BEE00.2D1,-2,2038566,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Mudgee 590
P25,BEE00.2D1,-2,2038611,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Mudgee 591
