protocol,networkID,group,radio,priority,override,hits,timestamp,radio alias
P25,BEE00.2D1,-2,2039788,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Inverell Portable 6
P25,BEE00.2D1,-2,2035375,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Junee Portable 1
P25,BEE00.2D1,-2,2038295,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Junee Portable 2
P25,BEE00.2D1,-2,2038582,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Junee Portable 3
P25,BEE00.2D1,-2,2038583,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Junee Portable 4
P25,BEE00.2D1,-2,2038584,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Junee Portable 5
P25,BEE00.2D1,-2,2038658,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Junee Portable 6
P25,BEE00.2D1,-2,2035369,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Leeton Portable 1
P25,BEE00.2D1,-2,2038298,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Leeton Portable 2
P25,BEE00.2D1,-2,2039765,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Leeton Portable 3
P25,BEE00.2D1,-2,2039766,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Leeton Portable 4
P25,BEE00.2D1,-2,2039767,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Leeton Portable 5
P25,BEE00.2D1,-2,2039768,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Leeton Portable 6
P25,BEE00.2D1,-2,2035372,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Lithgow Lithgow 1
P25,BEE00.2D1,-2,2039780,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Lithgow Lithgow 2
P25,BEE00.2D1,-2,2038673,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Lithgow Lithgow 3
P25,BEE00.2D1,-2,2038674,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Lithgow Lithgow 4
P25,BEE00.2D1,-2,2039825,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Lithgow Lithgow 5
P25,BEE00.2D1,-2,2038675,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Lithgow Lithgow 6
P25,BEE00.2D1,-2,2035359,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Manilla Portable 1
P25,BEE00.2D1,-2,2039762,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Manilla Portable 2
P25,BEE00.2D1,-2,2039826,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Manilla Portable 3
P25,BEE00.2D1,-2,2039827,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Manilla Portable 4
P25,BEE00.2D1,-2,2039828,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Manilla Portable 5
P25,BEE00.2D1,-2,2039763,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Manilla Portable 6
P25,BEE00.2D1,-2,2035370,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Mendooran Portable 1
P25,BEE00.2D1,-2,2039764,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Mendooran Portable 2
P25,BEE00.2D1,-2,2039837,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Mendooran Portable 3
P25,BEE00.2D1,-2,2039838,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Mendooran Portable 4
P25,BEE00.2D1,-2,2039839,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Mendooran Portable 5
P25,BEE00.2D1,-2,2039840,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Mendooran Portable 6
P25,BEE00.2D1,-2,2035381,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Merriwa Portable 1
P25,BEE00.2D1,-2,2039846,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Merriwa Portable 2
P25,BEE00.2D1,-2,2038633,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Merriwa Portable 3
P25,BEE00.2D1,-2,2038634,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Merriwa Portable 4
P25,BEE00.2D1,-2,2038697,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Merriwa Portable 5
P25,BEE00.2D1,-2,2039847,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Merriwa Portable 6
P25,BEE00.2D1,-2,2035357,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Mudgee Portable 1
P25,BEE00.2D1,-2,2039841,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Mudgee Portable 2
P25,BEE00.2D1,-2,2039861,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Mudgee Portable 3
P25,BEE00.2D1,-2,2039862,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Mudgee Portable 4
P25,BEE00.2D1,-2,2039842,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Mudgee Portable 5
P25,BEE00.2D1,-2,2039863,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Mudgee Portable 6
P25,BEE00.2D1,-2,2038698,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Murrurundi Portable 1
P25,BEE00.2D1,-2,2039848,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Murrurundi Portable 2
P25,BEE00.2D1,-2,2039801,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Murrurundi Portable 3
P25,BEE00.2D1,-2,2039807,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Murrurundi Portable 4
P25,BEE00.2D1,-2,2038635,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Murrurundi Portable 5
P25,BEE00.2D1,-2,2039849,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Murrurundi Portable 6
P25,BEE00.2D1,-2,2035378,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narooma Portable 1
P25,BEE00.2D1,-2,2039808,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narooma Portable 2
P25,BEE00.2D1,-2,2039850,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narooma Portable 3
P25,BEE00.2D1,-2,2039851,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narooma Portable 4
P25,BEE00.2D1,-2,2039802,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narooma Portable 5
P25,BEE00.2D1,-2,2039809,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narooma Portable 6
P25,BEE00.2D1,-2,2035360,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrabri Portable 1
P25,BEE00.2D1,-2,2039843,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrabri Portable 2
P25,BEE00.2D1,-2,2039844,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrabri Portable 3
P25,BEE00.2D1,-2,2039864,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrabri Portable 4
P25,BEE00.2D1,-2,2038292,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrabri Portable 5
P25,BEE00.2D1,-2,2038297,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrabri Portable 6
P25,BEE00.2D1,-2,2038304,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrabri Portable 7
P25,BEE00.2D1,-2,2038305,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrabri Portable 8
P25,BEE00.2D1,-2,2035386,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrandera Portable 1
P25,BEE00.2D1,-2,2038299,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrandera Portable 2
P25,BEE00.2D1,-2,2039769,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrandera Portable 3
P25,BEE00.2D1,-2,2038660,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrandera Portable 4
P25,BEE00.2D1,-2,2038661,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrandera Portable 5
P25,BEE00.2D1,-2,2038676,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrandera Portable 6
P25,BEE00.2D1,-2,2035394,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narromine Portable 1
P25,BEE00.2D1,-2,2038684,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narromine Portable 3
P25,BEE00.2D1,-2,2038677,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narromine Portable 4
P25,BEE00.2D1,-2,2039853,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narromine Portable 5
P25,BEE00.2D1,-2,2038678,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narromine Portable 6
P25,BEE00.2D1,-2,2038685,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narromine Portable 7
P25,BEE00.2D1,-2,2039770,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narromine Portable 8
P25,BEE00.2D1,-2,2038646,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Norfolk Island Portable 1
P25,BEE00.2D1,-2,2038637,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Norfolk Island Portable 2
P25,BEE00.2D1,-2,2038638,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Norfolk Island Portable 3
P25,BEE00.2D1,-2,2038639,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Norfolk Island Portable 4
P25,BEE00.2D1,-2,2038647,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Norfolk Island Portable 5
P25,BEE00.2D1,-2,2038640,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Norfolk Island Portable 6
P25,BEE00.2D1,-2,2035398,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Quirindi Portable 1
P25,BEE00.2D1,-2,2038699,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Quirindi Portable 2
P25,BEE00.2D1,-2,2039803,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Quirindi Portable 3
P25,BEE00.2D1,-2,2039804,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Quirindi Portable 4
P25,BEE00.2D1,-2,2039810,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Quirindi Portable 5
P25,BEE00.2D1,-2,2039811,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Quirindi Portable 6
P25,BEE00.2D1,-2,2035392,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Taree Portable 1
P25,BEE00.2D1,-2,2038636,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Taree Portable 2
P25,BEE00.2D1,-2,2039812,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Taree Portable 3
P25,BEE00.2D1,-2,2039852,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Taree Portable 4
P25,BEE00.2D1,-2,2039773,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Taree Portable 5
P25,BEE00.2D1,-2,2039813,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Taree Portable 6
P25,BEE00.2D1,-2,2039814,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Taree Portable 7
